!ID,,!catalog_number,!bd_catalog_number,!digital_catalog_number,!line,!post_title,!bd_audio_mix,!bd_canadian_price,!bd_configuration,!bd_consumer_srp,!bd_disc_type,!bd_dvd_features,!bd_frame_rate,!bd_isbn,!bd_prebook_date,!bd_running_time,!bd_street_date,!bd_subtitles,!bd_upc,!digital_running_time,!digital_street_date,!amazon_link,!itunes_link,!youtube_link,!hulu_link,!playstation_link,!slingbox_link,!xbox_link,!snagfilm_link,!tvcom_link,!vudu_link,!cinema_now
2041,AAAE101330,AAAE101330,,NNVG1627,DOC,Ravi Shankar: The Concert for World Peace -Live At Royal Albert Hall,,,,,,,,,,,,,,,,,http://click.linksynergy.com/fs-bin/stat?id=ccUl/Cc0tjI&offerid=146261&type=3&subid=0&tmpid=1826&RD_PARM1=http%253A%252F%252Fitunes.apple.com%252FWebObjects%252FMZStore.woa%252Fwa%252FviewMovie%253Fid%253D325546203%2526s%253D143441%2526uo%253D6%2526partnerId%253D30,,,,,,,,,
521,AAAE110540,AAAE110540,AAAE158100,,THC,How The Earth Was Made,Dolby Digital 2.0 Stereo,34.95,Blu-ray Single,29.95,Blu-Ray Amaray,Bonus Documentary,24,1-4229-3988-X,05/26/2009,94 min + extras,06/30/2009,English,7-33961-15810-6,,,,,,,,,,,,,
538,AAAE147980,AAAE147980,AAAE159360,,THC,The Universe: The Complete Season 3,Dolby Digital 2.0 Stereo,79.95,Blu-ray 3-pk SET,69.95,Swing Amaray,BONUS FEATURE: Universe Facts and Photo Gallery,24,1-4229-4105-1,08/25/2009,9h 24m + extras,09/29/2009,English,7-33961-15936-3,,,,,,,,,,,,,
2959,AAAE154780,AAAE154780,AAAE225090,,THC,Patton 360: The Complete Season 1,Dolby Digital 2.0 Stereo,56.95,Blu-ray 2-pk SET,49.95,Blu-Ray Swing Amaray,,29.97,1-4229-8825-2,08/24/2010,7h 50m,09/28/2010,English,7-33961-22509-9,,,,,,,,,,,,,
6996,AAAE155290,AAAE155290,AAAE164120,,THC,Expedition Africa,Dolby Digital 2.0 Stereo,44.95,Blu-ray Single,39.95,Swing Amaray,Behind-the-Scenes Documentary,24,1-4229-4427-1,09/29/2009,6h 16m + extras,10/27/2009,,7-33961-16412-1,,,,,,,,,,,,,
522,AAAE155320,AAAE155320,AAAE230010,,THC,How the Earth Was Made: The Complete Season 1,Dolby Digital 2.0 Stereo,56.95,Blu-ray 3-pk SET,49.95,Triple Swing Blu-ray Amaray,,24,1-4229-9359-0,09/28/2010,10h 11m,10/26/2010,English,7-33961-23001-7,,,,,,,,,,,,,
526,AAAE155330,AAAE155330,AAAE221600,,THC,Ice Road Truckers: The Complete Season 3,Dolby Digital 2.0 Stereo,56.95,Blu-ray 3-pk SET,49.95,Triple Swing Amaray,Additional Footage,24,1-4229-8462-1,05/11/2010,10h 11m + extras,06/08/2010,English,7-33961-22160-2,,,,,,,,,,,,,
2954,AAAE157530,AAAE157530,AAAE227530,,THC,Nostradamus: 2012,Dolby Digital 2.0 Stereo,29.95,Blu-ray Single,24.95,Blu-Ray Standard Amaray,Feature length documentary – The Lost Book of Nostradamus,24,1-4229-9077-X,08/24/2010,94 min + extras,09/28/2010,English,7-33961-22753-6,,,,,,,,,,,,,
535,AAAE158680,AAAE158680,AAAE229040,,THC,The Universe: Our Solar System,Dolby Digital 2.0 Stereo,34.95,Blu-ray 2-pk SET,29.95,Blu-Ray Swing Amaray,,24,1-4229-9240-3,07/27/2010,7h 50m,08/24/2010,No,7-33961-22904-2,,,,,,,,,,,,,
537,AAAE158730,AAAE158730,AAAE158890,,THC,The Universe: The Complete Season Two,Dolby Digital 2.0 Stereo,89.95,Blu-ray 4-pk SET,79.95,Quad Swing Amaray,Featurette “Backyard Astronomers”,24,1-4229-4071-3,06/16/2009,14h 6m + extras,07/07/2009,English,7-33961-15889-2,,,,,,,,,,,,,
14178,AAAE159340,AAAE159340,AAAE168780,,A&E,Willie Nelson and Wynton Marsalis Play the Music of Ray Charles,Dolby Digital 5.1,34.95,Blu-ray Single,29.95,Blu-Ray Standard Amaray,BONUS FEATURES:,24,1-4229-4899-4,10/20/2009,91 min + extras,09/22/2009,English,7-33961-16878-5,,,,,,,,,,,,,
2691,AAAE203340,AAAE203340,AAAE225100,,THC,Battle 360: The Complete Season 1,Dolby Digital 2.0 Stereo,56.95,Blu-ray 3-pk SET,49.95,Triple Swing Amaray,Additional Scenes,29.97,1-4229-8826-0,08/24/2010,9h 40m + extras,09/28/2010,English,7-33961-22510-5,,,,,,,,,,,,,
