Item#,UPC,MAT #,Title,Studio,Synopsis,Brand,SRP,Direct Cost,Street Date/ Reprice Date,Order Date,Announce Date,# of Discs,Run Time (Min),TAGS,Aspect Ratio,Language (Main and Dubbed),Subtitles,Rating,Production Date,Talent,Director,Producer,BD Item#,BD UPC,BD SRP,BD Street Date/ Reprice Date,BD prebook,BD Config,BD Run Time (Min),BD Aspect Ratio,BD Subtitles
,,,"Aguirre, The Wrath Of God",Shout! Factory,"In the mid-16th century, after annihilating the Incan empire, Gonzalo Pizarro (Allejandro Repulles) leads his army of conquistadors over the Andes into the heart of the most savage environment on earth in search of the fabled City of Gold, El Dorado. As the soldiers battle starvation, Indians, the forces of nature, and each other, Don Lope de Aguirre (Klaus Kinski) ""The Wrath Of God,"" is consumed with visions of conquering all of South America and revolts, leading his own army down a treacherous river on a doomed quest into oblivion.

Featuring a seething, controlled performance from Kinski, this masterpiece from director Werner Herzog is an unforgettable portrait of madness and power.
",,,,,,,,,"genre: Drama,  genre: Faith",,English,,,1972,,,,SF15684,826663156843,24.97,3/17/2015,2/3/2015,Blu-ray Single,93 minutes,,English
,,,Blacula / Scream Blacula Scream,Shout! Factory,"Blacula: An African Prince is turned into a vampire by Dracula (Charles Macaulay) and locked away in a coffin. In 1970, his coffin is reopened, unleashing Blacula (William Marshall) on Los Angeles.
 Scream Blacula Scream: The vampire Blacula is stirred by African voodoo, and is forced to kill again.
",Scream Factory,,,,,,,,"genre: Comedy,  Halloween",,,,PG,1972 & 1973,"William Marshall, Vonetta McGee, Pam Grier ","William Crain, Bob Kelljan ",,SF15653,826663156539,24.97,3/3/2015,1/21/2015,Blu-ray Single,93/96 min,WS,N
NP4660,883476146607,88169154000,Blood Lines,NAMP Entertainment,"The story of the consequences when you mix business with pleasure. When love, betrayal and business collide it produces tension soaked drama and possible catastrophe. Stanley who is a member of a gang falls in love with Lily, a girl with a rich father. Stanley's gang now demands that Stanley sets up Lily's father for them to scam, Stanley doesn't want that because he is in love with Lily and all hell breaks loose. THE TRACE, is a dramatic film infused with comedy that will keep the audience entertained and glued to their seats to the very last second 
",,14.93,7.75,3/10/2015,1/27/2015,12/8/2014,DVD Single,90 min,"genre: Action,  genre: Urban",FF,,,NR,2015,"Billy Dee Williams, Lynn Whitfield, Tangi Mille, Pascal Atuma",Pascal Atuma,,,,,,,,,,
8477VCI,089859847721,88146615000,Cisco Kid Western Collection,VCI Entertainment,"THE GAY CAVALIER: In this polished adventure Cisco has his hands full between solving a stagecoach robbery and rescuing a woman from marrying a man who is not what he seems to be. 

BEAUTY AND THE BANDIT: Cisco and Pancho come to the rescue of a beautiful young senorita that is in immediate danger of losing her ranch to a low-down varmint. 

SOUTH OF MONTEREY: Trying to stop a land-swindling scheme proves to be a little tricky for Cisco Kid and his sidekick Pancho when the men behind it turn out to be a police captain and a tax collector. 

RIDING THE CALIFORNIA TRAIL: By impersonation, quick thinking and an exciting duel, a lovely senorita is rescued. 

ROBIN HOOD OF MONTEREY: In Gilbert Roland's next to last outing as Cisco, the Kid is almost executed for murder, but escapes and captures the real killer. 

KING OF THE BANDITS: U.S. Marshals pursue Cisco when he catches blame for an imposter's string of stagecoach robberies. Cisco and Pancho elude the law long enough to catch the real robbers in order to clear themselves of false charges. 
",,29.93,16.5,3/17/2015,2/3/2015,12/8/2014,DVD 2-pk SET,,genre: Western,1.33:1,English,,NR,"1946, 1946, 1946, 1947, 1947, 1947","THE GAY CAVALIER: Gilbert Roland, Martin Garralaga, Ramsay Ames, Tristram Coffin, Helen Gerald BEAUTY AND THE BANDIT: Gilbert Roland, Martin Garralaga, Ramsay Ames, Vida Aldana, William Gould SOUTH OF MONTEREY: Gilbert Roland, Martin Garralaga, Iris Flores, George Lewis RIDING THE CALIFORNIA TRAIL: Gilbert Roland, Martin Garralaga, Frank Yaconelli, Teala Loring, Inez Cooper ROBIN HOOD OF THE MONTEREY: Gilbert Roland, Chris-Pin Martin, Ernie Adams, Evelyn Brent, Fred Cordove, Thornton Edwards ROBIN HOOD OF THE MONTEREY: Gilbert Roland, Chris-Pin Martin, Ernie Adams, Evelyn Brent, Fred Cordove, Thornton Edwards",THE GAY CAVALIER: Gilbert William Nigh BEAUTY AND THE BANDIT: William Nigh SOUTH OF MONTEREY: William Nigh RIDING THE CALIFORNIA TRAIL: William Nigh ROBIN HOOD OF THE MONTEREY: William Christy Cabanne,,,,,,,,,,
LD4670,883476146706,88169162000,Confessions of a Prodigal Son,Lighting Dark,"A coming-of-age tale following Sean (Nathan Clarkson) as he rebels and leaves his home, family and father (Kevin Sorbo) to figure out life on his own. Two years later--while still on the journey to find life's answers--Sean suddenly finds himself questioning everything he thought he knew as he is confronted by a professor (Darwin Harris) who challenges Sean to see his life as a story; a best friend (Azel James) walking a dangerous path; and a strong and beautiful young woman (Rachael Lee) who is on her own journey to answers. Each one of these elements causes Sean to greater examine the choices he is making. The story is one of drama, laughter, relationships, faith, and redemption, ultimately asking the question ""Can broken stories have happy endings?“
",,14.93,7.75,3/24/2015,2/10/2015,12/8/2014,DVD Single,90 min,"genre: Family,  genre: Faith",WS,English,English,,2015,"Kevin Sorbo, Nathan Clarkson, Rachael Lee, Azel James, Tanya Chisholm, Michael Christopher Bolten, Darwin Harris.",Allan Spiers,,,,,,,,,,
SF15679,826663156799,88169235000,Dark Haul,Shout! Factory,"A team of secretive guardians transport a deadly creature and its half-human sister to a secure location, but the beast escapes and threatens to fulfill a prophecy - by destroying the world.
",,14.98,7.75,3/10/2015,1/27/2015,12/8/2014,DVD Single,,"genre: Horror,  Halloween",,English,English,,2014,,,,SF15680,826663156805,24.97,3/10/2015,1/27/2015,Blu-ray Single,,,English
RM4633,883476146331,88169163000,Diamond Heist,Random Media,"When two dancers mysteriously disappear from outside his London club, Terence (Michael Madsen) a notorious diamond smuggler, needs to find some replacements fast. His old colleague and former diamond man Jack Varga (Vinnie Jones) offers up his own recruits, but Varga has ulterior motives.
",,19.97,11.75,3/24/2015,2/10/2015,12/8/2014,DVD Single,100 min,"genre: Action,  genre: Thriller",,,,NR,2015,"Vinnie Jones, Michael Madsen",Robert Koltai,,,,,,,,,,
,,,Dog Soldiers Collector's Edition,Shout! Factory,"A band of soldiers is dispatched to war games deep in the woods. When they stumble across a rival team slaughtered in camp, they realize they're not alone. Something deadly waits in the darkness; something not animal and not human. Holed up in an abandoned farmhouse, the soldiers start a bloody battle against the beasts
",,,,,,,,,"genre: Horror,  Halloween",,English,,,2002,,,,SF15040,826663150407,29.93,3/10/2015,1/27/2015,Blu-ray 2-pk,105 minutes,,English
KPF650,089859065026,88169158000,"Euro-Trash Cinema Double Feature: Nylon Noose, Escape from Sahara",VCI Entertainment,"NYLON NOOSE (Die Nylonschlinge)
West Germany; 1963; 71 mins.; Director: Rolf Gruber (Rudolf Zehetgruber); Cast: Richard Goodman, Olga Summerfield, Ernest Shroeder, George Knuth, Laya Racki (Crime)
A company's stockholders hold their meeting at a lonely mansion. A mad doctor conducting experiments in the mansion starts to strangle them one at a time with a nylon noose. The survivors must figure out a way to stop him. 
 
ESCAPE FROM SAHARA (Madeleine und der Legionär)
West Germany; 1958; 100 mins.; Director: Wolfgang Staudte; Cast: Hildegard Neff, Hans Messmer, Bernhard Vicki, Helmut Schmitt, Jack Hansen (Adventure)
It's a nightmare at 20,000 feet when three French Foreign Legion paratroopers decide to desert and force their plane's pilot to take them to Spain. Following a fight and a desert crash-landing, they meet a nurse (Hildegard Neff) who offers help. 
",,19.97,11.75,3/31/2015,2/17/2015,12/8/2014,DVD Single,171 mins,"genre: Thriller,  genre: Cult Classic",1.33:1,,,NR,2015,"Richard Goodman, Olga Summerfield, Ernest Shroeder, George Knuth, Laya Racki, Hildegard Neff, Hans Messmer, Bernhard Vicki, Helmut Schmitt, Jack Hansen","Rolf Gruber, Wolfgang Staudte",,,,,,,,,,
KPF649,089859064920,88169157000,"Euro-Trash Cinema Triple Feature: I'll See You In Hell, Passport for a Corpse, Death on a Fourposter",VCI Entertainment,"I’LL SEE YOU IN HELL (Ti aspetterò all'inferno)
Italy; 1960; 73 mins.; Director: Pierre King (Piero Regnoli); Cast: John Drew Barrymore, Eva Bartok 
When a diamond heist goes wrong, three would-be robbers go on the run from the law. They soon find themselves involved with a beautiful woman who may wind up being even more trouble for them than the botched robbery. 
 
PASSPORT FOR A CORPSE (Lasciapassare per il morto)
Italy;1962; 74 mins.; Director: Mario Gariazzo; Cast: Albert Lupin, Helene Chanel, Guest Star:  Linda Christian
The sole-surviving member of a payroll heist gang, Marco attempts to escape into France on foot--until he happens upon an unattended hearse and takes the dear departed's place in the coffin. Now he must struggle to survive, first in the coffin and next in a frigid morgue! 
 
DEATH ON THE FOUR POSTER (Delitto allo specchio)
Italy; 1964; 92 mins.; Director: Joe Josipovici, Ambroglio Molteni; Cast: John Drew Barrymore, Gloria Milland
A party of young people gather in a mansion for an occult experiment in which deaths are predicted by a psychic. Soon it turns into more than an experiment.
",,19.97,11.75,3/31/2015,2/17/2015,12/8/2014,DVD Single,239 mins.,"genre: Thriller,  genre: Cult Classic",1.33:1,,,NR,2015,"John Drew Barrymore, Eva Martok, Albert Lupin, Helene Chanel, Linda Christian, Gloria Milland","Pierre King, Mario Gariazzo, Joe Josipovici, Ambroglio Molteni",,,,,,,,,,
